Handle,Posted,Text,Deleted,Uri,Images
joshnicholas.com,2023-10-13,Very windy in Bendigo today 😬😬😬,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kblsui7xc62d,bafkreidqduoirjav6cyhhzwp4t3smpkoynibex6bkt7kk65od33phq5szq.jpg
joshnicholas.com,2023-10-12,Inktober 8: couldn’t think of a way to do toad so I just did a green painting 🤔,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kbjqkdvpdj2m,bafkreihlxdeja5toa7yufyi6ydsprfccwk7dpgzreurvao2wjfaa4kwjeu.jpg
joshnicholas.com,2023-10-10,Was sick for a few days so trying to catch up. #inktober 7: drop,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kbggyekcak2m,bafkreiefaleiipjhrabqaonvaubb26rqbfqhrby3gktpawkcikrepti6vm.jpg
joshnicholas.com,2023-10-05,#inktober 6: Golden,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kazuvdg43h2o,bafkreie4g3o5g4ps6twmhbbdr4regvk7ygkoehfn4br7qqb5kae3t33rkm.jpg
joshnicholas.com,2023-10-05,Realised I was running a day behind so here’s #inktober 5: map. I just ripped off Anaximander from the School of Athens painting.,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kayik6hhiy2h,bafkreia7orpzgzw47ww2i6vruoe4lhqcnijvqnx4a42tkz5jhzcmrs33km.jpg
joshnicholas.com,2023-10-04,If anyone wants to buy soiled plates I will happily part with mine www.theguardian.com/lifeandst…,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kaxlkxz4v42p,bafkreibkpg5kmdmf3guk7zjlgk5q6atyppwvawqiem7mfwt7p5s67pzwka.jpg
joshnicholas.com,2023-10-04,Inktober day 4: Dodge,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kaxexkn7bn2v,bafkreid66uewdjwalkhtzj3kdjztqe3s2gekp2wbptbh7uooi7rthljtb4.jpg
joshnicholas.com,2023-10-04,Questions that journalists should also be asking www.theguardian.com/commentis…,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kavjsuqpmc24,bafkreidopwibtnslpueezo6b2wpxpzpnkdnj5im27haoshejjqef64buli.jpg
joshnicholas.com,2023-10-03,Inktober #3: Path (aka march of the blue suits),False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kauun5pm342j,bafkreihfrxzn5oulixcmzn7rsvmzjm23bcb2kjtp2m2ws4b7q4sguok2sq.jpg
joshnicholas.com,2023-10-02,Starting to replace Payne’s grey with indigo and really loving it,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kasckiq34w2r,bafkreidc7t6u6rwen7tvzzeaxbklbb7xym24l3cmnveztaukvsxl5musom.jpg
